CMDLINE c:\users\36878\appdata\local\programs\python\python38\python.exe .\test_run.py
MEM 1.640625 1654008940.9608
MEM 19.078125 1654008941.0618
MEM 34.085938 1654008941.1738
MEM 44.433594 1654008941.2858
MEM 48.089844 1654008941.3978
MEM 50.996094 1654008941.5099
MEM 60.972656 1654008941.6219
MEM 66.695312 1654008941.7338
